investor_id,state,city,city_tier,age_group,gender,total_transactions,total_invested_inr,avg_transaction_inr,first_transaction,last_transaction,preferred_mode,kyc_status,annual_income_lakh
INV000056,Haryana,Faridabad,B30,26-35,Female,8,290649,36331.125,2024-01-10,2025-04-22,Mandate,Verified,22.5
INV000057,Tamil Nadu,Chennai,T30,36-45,Male,11,826946,75176.90909090909,2024-04-30,2025-04-13,Net Banking,Verified,59.9
INV000058,Maharashtra,Mumbai,T30,26-35,Male,7,537154,76736.28571428571,2024-01-05,2024-12-11,Net Banking,Verified,19.9
INV000059,Maharashtra,Nashik,B30,18-25,Male,1,1764,1764.0,2024-01-10,2024-01-10,Mandate,Verified,5.2
INV000060,Madhya Pradesh,Indore,T30,36-45,Male,2,24574,12287.0,2024-04-26,2024-07-25,Mandate,Verified,45.6
INV000061,Tamil Nadu,Chennai,T30,26-35,Female,5,607545,121509.0,2024-02-21,2024-11-16,UPI,Verified,23.3
INV000062,Haryana,Faridabad,B30,46-55,Male,8,1245620,155702.5,2024-01-30,2025-05-08,Mandate,Verified,22.9
INV000063,Uttar Pradesh,Agra,B30,46-55,Male,3,9210,3070.0,2024-01-19,2025-03-30,Cheque,Verified,88.9
INV000064,Uttar Pradesh,Kanpur,B30,18-25,Female,1,473247,473247.0,2024-07-30,2024-07-30,Cheque,Pending,3.5
INV000065,Maharashtra,Mumbai,T30,46-55,Female,6,431252,71875.33333333333,2024-01-05,2025-04-08,UPI,Verified,43.2
INV000066,Haryana,Faridabad,B30,56+,Male,7,1210286,172898.0,2024-07-01,2025-03-03,Mandate,Verified,64.2
INV000067,Delhi,Gurugram,T30,36-45,Male,1,538,538.0,2024-10-29,2024-10-29,Net Banking,Verified,19.7
INV000068,West Bengal,Kolkata,T30,18-25,Female,1,417438,417438.0,2025-02-02,2025-02-02,Net Banking,Verified,7.3
INV000069,Gujarat,Ahmedabad,T30,56+,Female,12,691513,57626.083333333336,2024-02-14,2025-05-01,Net Banking,Verified,35.9
INV000070,West Bengal,Kolkata,T30,56+,Female,4,218564,54641.0,2024-03-14,2025-02-18,Cheque,Verified,20.1
INV000071,Madhya Pradesh,Bhopal,B30,26-35,Female,7,883938,126276.85714285714,2024-03-15,2024-06-09,Mandate,Pending,18.2
INV000072,Gujarat,Ahmedabad,T30,18-25,Female,10,1360992,136099.2,2024-03-19,2025-05-13,Mandate,Verified,6.4
INV000073,Punjab,Amritsar,B30,18-25,Male,10,389007,38900.7,2024-03-20,2025-05-05,Mandate,Verified,5.5
INV000074,Rajasthan,Jaipur,T30,26-35,Female,11,966394,87854.0,2024-01-08,2025-05-30,UPI,Verified,8.4
INV000075,Madhya Pradesh,Bhopal,B30,36-45,Male,7,522440,74634.28571428571,2024-05-01,2025-05-10,Cheque,Verified,27.2
INV000076,Gujarat,Ahmedabad,T30,56+,Female,9,779077,86564.11111111111,2024-01-29,2025-05-10,Net Banking,Verified,67.1
INV000077,Rajasthan,Jaipur,T30,36-45,Male,2,687684,343842.0,2024-07-01,2024-09-26,Cheque,Verified,23.0
INV000078,Haryana,Faridabad,B30,26-35,Male,4,797804,199451.0,2024-02-13,2025-05-17,Net Banking,Verified,20.2
INV000079,Gujarat,Surat,T30,26-35,Male,9,582247,64694.11111111111,2024-02-03,2025-04-27,Mandate,Verified,17.0
INV000080,Telangana,Hyderabad,T30,26-35,Male,5,424500,84900.0,2024-06-27,2025-02-25,Mandate,Verified,12.4
INV000081,Gujarat,Surat,T30,36-45,Male,11,1246072,113279.27272727272,2024-01-01,2025-05-03,Mandate,Verified,31.0
INV000082,Rajasthan,Udaipur,B30,26-35,Female,9,467544,51949.333333333336,2024-01-09,2025-05-25,Net Banking,Verified,19.6
INV000083,Uttar Pradesh,Kanpur,B30,56+,Female,2,93284,46642.0,2024-02-13,2024-08-11,UPI,Verified,42.0
INV000084,West Bengal,Kolkata,T30,26-35,Male,7,790760,112965.71428571429,2024-02-10,2025-05-14,Net Banking,Verified,11.2
INV000085,Gujarat,Surat,T30,26-35,Female,8,1103908,137988.5,2024-02-02,2025-02-01,Cheque,Verified,14.6
INV000086,Karnataka,Mysore,B30,18-25,Female,12,924447,77037.25,2024-02-05,2025-03-13,Net Banking,Verified,4.1
INV000087,Rajasthan,Jaipur,T30,36-45,Male,10,1535954,153595.4,2024-02-20,2025-05-29,Net Banking,Verified,56.2
INV000088,Delhi,Noida,T30,26-35,Male,4,456686,114171.5,2024-05-24,2024-08-02,Mandate,Verified,20.4
INV000089,Maharashtra,Mumbai,T30,26-35,Female,11,1902611,172964.63636363635,2024-01-23,2025-05-28,Net Banking,Verified,11.2
INV000090,Rajasthan,Udaipur,B30,26-35,Female,7,1238312,176901.7142857143,2024-07-08,2025-04-25,Net Banking,Verified,23.7
INV000091,Haryana,Gurugram,T30,26-35,Male,12,983083,81923.58333333333,2024-01-04,2025-05-20,Cheque,Verified,14.6
INV000092,Haryana,Gurugram,T30,18-25,Female,5,532320,106464.0,2024-03-07,2025-02-27,Mandate,Verified,3.7
INV000093,Maharashtra,Mumbai,T30,36-45,Female,10,938401,93840.1,2024-01-30,2025-04-18,Net Banking,Verified,59.0
INV000094,West Bengal,Kolkata,T30,18-25,Male,11,1072694,97517.63636363637,2024-02-17,2025-05-10,Mandate,Verified,3.7
INV000095,West Bengal,Kolkata,T30,18-25,Male,9,1454422,161602.44444444444,2024-03-21,2025-05-14,Mandate,Verified,6.5
INV000096,Gujarat,Surat,T30,26-35,Female,2,17236,8618.0,2024-12-14,2024-12-16,Net Banking,Verified,13.9
INV000097,Karnataka,Mysore,B30,18-25,Male,11,956579,86961.72727272728,2024-01-01,2025-04-02,Net Banking,Verified,6.0
INV000098,Telangana,Hyderabad,T30,36-45,Male,7,263030,37575.71428571428,2024-03-20,2025-04-25,Cheque,Verified,33.8
INV000099,Haryana,Gurugram,T30,36-45,Male,8,609026,76128.25,2024-03-19,2025-03-21,Net Banking,Verified,43.5
INV000100,Rajasthan,Udaipur,B30,56+,Male,8,1666238,208279.75,2024-02-04,2025-04-09,UPI,Verified,57.2
INV000101,Madhya Pradesh,Indore,T30,26-35,Male,12,1074030,89502.5,2024-02-08,2025-05-17,Cheque,Verified,20.8
INV000102,Gujarat,Surat,T30,26-35,Male,11,833234,75748.54545454546,2024-02-11,2025-05-13,UPI,Verified,21.9
INV000103,Punjab,Chandigarh,T30,26-35,Female,8,812455,101556.875,2024-02-08,2025-04-30,Mandate,Verified,18.2
INV000104,Madhya Pradesh,Indore,T30,26-35,Male,12,1570044,130837.0,2024-01-06,2025-05-15,Net Banking,Pending,8.1
INV000105,Punjab,Chandigarh,T30,56+,Male,10,609014,60901.4,2024-01-02,2025-02-04,Net Banking,Verified,41.4
INV000106,Uttar Pradesh,Kanpur,B30,18-25,Female,4,438624,109656.0,2024-09-23,2025-03-31,Cheque,Verified,5.1
INV000107,Maharashtra,Mumbai,T30,26-35,Male,5,689715,137943.0,2024-05-04,2024-11-20,Net Banking,Verified,14.7
INV000108,Uttar Pradesh,Agra,B30,36-45,Male,9,1510587,167843.0,2024-03-30,2025-03-30,Cheque,Verified,26.2
INV000109,Karnataka,Bangalore,T30,26-35,Female,10,370528,37052.8,2024-02-29,2025-03-05,Mandate,Verified,15.0
INV000110,Uttar Pradesh,Agra,B30,46-55,Female,3,16633,5544.333333333333,2024-04-26,2024-12-26,Cheque,Verified,85.3
INV000111,Karnataka,Bangalore,T30,56+,Male,2,71275,35637.5,2024-05-25,2024-12-16,Net Banking,Verified,42.5
INV000112,Tamil Nadu,Chennai,T30,26-35,Male,4,374488,93622.0,2024-02-13,2024-10-11,Net Banking,Verified,20.5
INV000113,Punjab,Chandigarh,T30,26-35,Female,9,572762,63640.22222222222,2024-02-11,2025-05-01,Cheque,Verified,7.3
INV000114,West Bengal,Kolkata,T30,36-45,Male,4,933047,233261.75,2024-05-17,2024-10-06,Cheque,Verified,59.6
INV000115,Tamil Nadu,Coimbatore,B30,36-45,Male,6,734219,122369.83333333333,2024-02-02,2025-05-17,Cheque,Verified,16.6
INV000116,West Bengal,Kolkata,T30,18-25,Male,5,476636,95327.2,2024-04-27,2025-03-08,Cheque,Verified,3.2
INV000117,Karnataka,Bangalore,T30,26-35,Female,8,1343830,167978.75,2024-04-04,2025-04-23,UPI,Verified,15.6
INV000118,Telangana,Hyderabad,T30,26-35,Male,6,64549,10758.166666666666,2024-09-01,2025-05-12,Mandate,Verified,20.2
INV000119,Rajasthan,Jaipur,T30,26-35,Female,2,34154,17077.0,2024-09-14,2025-02-03,Cheque,Verified,16.8
INV000120,Tamil Nadu,Chennai,T30,26-35,Male,4,47430,11857.5,2024-02-05,2025-01-18,UPI,Verified,24.4
INV000121,Telangana,Hyderabad,T30,18-25,Male,4,723039,180759.75,2024-04-12,2025-05-18,Cheque,Verified,7.8
INV000122,Madhya Pradesh,Bhopal,B30,36-45,Male,1,46110,46110.0,2024-03-25,2024-03-25,UPI,Verified,50.0
INV000123,Punjab,Chandigarh,T30,46-55,Male,9,429370,47707.77777777778,2024-03-28,2025-03-21,Net Banking,Verified,73.3
INV000124,Punjab,Amritsar,B30,36-45,Female,6,620700,103450.0,2024-02-15,2025-04-24,UPI,Verified,46.2
INV000125,Tamil Nadu,Coimbatore,B30,36-45,Male,7,766736,109533.71428571429,2024-06-16,2025-05-25,UPI,Verified,35.6
INV000126,Maharashtra,Mumbai,T30,26-35,Male,3,358987,119662.33333333333,2024-01-06,2025-01-25,Mandate,Pending,19.4
INV000127,Delhi,Gurugram,T30,18-25,Male,3,624406,208135.33333333334,2024-05-14,2025-02-01,Cheque,Verified,7.3
INV000128,Rajasthan,Jaipur,T30,36-45,Female,10,833586,83358.6,2024-03-19,2025-05-03,Mandate,Verified,50.9
INV000129,Punjab,Amritsar,B30,26-35,Female,11,1611261,146478.27272727274,2024-01-09,2025-05-14,UPI,Verified,21.4
INV000130,Madhya Pradesh,Indore,T30,56+,Female,10,2281059,228105.9,2024-04-14,2025-03-24,Cheque,Verified,69.4
INV000131,Telangana,Hyderabad,T30,36-45,Female,12,1926246,160520.5,2024-02-07,2025-03-28,Mandate,Verified,16.8
INV000132,Karnataka,Bangalore,T30,46-55,Female,9,1102531,122503.44444444444,2024-05-12,2025-05-16,Mandate,Verified,37.1
INV000133,Karnataka,Bangalore,T30,26-35,Female,7,470935,67276.42857142857,2024-02-15,2025-05-01,Mandate,Verified,11.5
INV000134,Punjab,Chandigarh,T30,36-45,Female,3,14726,4908.666666666667,2024-01-20,2024-07-12,Cheque,Verified,50.2
INV000135,Punjab,Amritsar,B30,18-25,Male,4,65453,16363.25,2024-01-24,2024-11-29,UPI,Verified,5.7
INV000136,Gujarat,Surat,T30,18-25,Male,1,820,820.0,2024-09-02,2024-09-02,Net Banking,Verified,3.7
INV000137,Rajasthan,Jaipur,T30,26-35,Female,9,1432382,159153.55555555556,2024-05-08,2025-04-07,Mandate,Verified,12.0
INV000138,Telangana,Hyderabad,T30,26-35,Male,12,2106027,175502.25,2024-01-09,2025-05-22,Cheque,Verified,24.7
INV000139,Punjab,Chandigarh,T30,18-25,Female,1,6583,6583.0,2024-03-24,2024-03-24,UPI,Pending,7.6
INV000140,Punjab,Amritsar,B30,56+,Male,4,762552,190638.0,2024-04-09,2025-04-02,Net Banking,Verified,74.0
INV000141,Maharashtra,Pune,T30,26-35,Male,1,8219,8219.0,2025-03-18,2025-03-18,UPI,Verified,22.1
INV000142,Uttar Pradesh,Lucknow,T30,26-35,Male,1,145769,145769.0,2024-01-11,2024-01-11,Cheque,Verified,13.2
INV000143,Haryana,Gurugram,T30,26-35,Male,7,597772,85396.0,2024-02-28,2025-01-01,Mandate,Verified,23.8
INV000144,Delhi,Noida,T30,26-35,Male,6,614283,102380.5,2024-01-04,2025-01-03,Mandate,Verified,19.1
INV000145,Delhi,New Delhi,T30,26-35,Male,9,788760,87640.0,2024-02-17,2025-05-09,Cheque,Verified,9.3
INV000146,Delhi,Gurugram,T30,26-35,Male,8,378075,47259.375,2024-02-12,2025-01-11,Mandate,Verified,14.1
INV000147,Rajasthan,Jaipur,T30,26-35,Male,7,577043,82434.71428571429,2024-05-11,2025-04-24,Cheque,Pending,15.7
INV000148,Telangana,Hyderabad,T30,18-25,Female,10,323740,32374.0,2024-03-11,2025-05-01,Cheque,Pending,3.5
INV000149,Delhi,New Delhi,T30,26-35,Male,1,445493,445493.0,2025-05-20,2025-05-20,Cheque,Pending,17.9
INV000150,Karnataka,Mysore,B30,18-25,Male,9,675917,75101.88888888889,2024-01-12,2025-04-20,Cheque,Verified,3.5
INV000151,Delhi,New Delhi,T30,18-25,Male,6,999068,166511.33333333334,2024-04-14,2025-03-14,UPI,Verified,5.1
INV000152,Haryana,Faridabad,B30,56+,Female,2,360590,180295.0,2024-08-26,2024-11-21,Cheque,Verified,58.1
INV000153,Karnataka,Mysore,B30,26-35,Male,10,1274163,127416.3,2024-06-20,2025-03-30,Mandate,Verified,14.1
INV000154,Haryana,Faridabad,B30,36-45,Male,9,1207941,134215.66666666666,2024-01-29,2025-05-16,Cheque,Verified,51.3
INV000155,Madhya Pradesh,Bhopal,B30,26-35,Female,8,288188,36023.5,2024-01-07,2025-01-28,Cheque,Verified,17.4
INV000156,Telangana,Hyderabad,T30,46-55,Male,7,611092,87298.85714285714,2024-01-08,2025-05-01,Cheque,Verified,29.1
INV000157,Madhya Pradesh,Indore,T30,18-25,Male,1,132893,132893.0,2025-02-13,2025-02-13,UPI,Verified,4.8
INV000158,Madhya Pradesh,Bhopal,B30,36-45,Male,8,1335840,166980.0,2024-02-02,2025-04-23,Net Banking,Verified,26.1
INV000159,West Bengal,Kolkata,T30,36-45,Male,3,38250,12750.0,2024-04-19,2025-05-26,Cheque,Verified,12.1
INV000160,Tamil Nadu,Chennai,T30,36-45,Female,5,684118,136823.6,2024-08-03,2025-05-14,Cheque,Verified,26.8
INV000161,Rajasthan,Jaipur,T30,18-25,Female,9,908572,100952.44444444444,2024-02-23,2025-05-06,Net Banking,Pending,6.8
INV000162,Haryana,Gurugram,T30,26-35,Female,2,18379,9189.5,2024-03-06,2025-05-15,Net Banking,Verified,25.0
INV000163,Uttar Pradesh,Kanpur,B30,46-55,Male,10,820316,82031.6,2024-01-06,2025-03-08,Net Banking,Verified,70.4
INV000164,Rajasthan,Udaipur,B30,18-25,Male,6,25253,4208.833333333333,2024-04-17,2025-02-20,Mandate,Verified,6.0
INV000165,Punjab,Chandigarh,T30,36-45,Female,9,1305699,145077.66666666666,2024-02-13,2025-05-29,Cheque,Pending,18.8
INV000166,Telangana,Hyderabad,T30,26-35,Male,7,724893,103556.14285714286,2024-01-06,2025-05-18,Mandate,Verified,24.4
INV000167,Gujarat,Ahmedabad,T30,56+,Male,9,832173,92463.66666666667,2024-01-09,2025-05-27,Net Banking,Verified,55.3
INV000168,Rajasthan,Jaipur,T30,26-35,Male,3,253235,84411.66666666667,2024-02-22,2025-03-12,Cheque,Verified,9.7
INV000169,Rajasthan,Jaipur,T30,26-35,Male,12,955776,79648.0,2024-03-03,2025-05-30,Mandate,Verified,6.9
INV000170,Haryana,Gurugram,T30,36-45,Female,3,191963,63987.666666666664,2024-08-13,2024-10-03,Mandate,Verified,12.4
INV000171,Delhi,Noida,T30,18-25,Female,4,498641,124660.25,2024-01-11,2024-09-27,Cheque,Verified,6.2
INV000172,Delhi,Noida,T30,36-45,Male,5,264205,52841.0,2024-04-12,2025-05-17,UPI,Verified,53.2
INV000173,Maharashtra,Mumbai,T30,26-35,Male,11,1193694,108517.63636363637,2024-04-18,2025-03-30,Mandate,Verified,7.6
INV000174,Karnataka,Bangalore,T30,36-45,Male,8,1006601,125825.125,2024-01-27,2025-05-19,Net Banking,Verified,58.1
INV000175,Karnataka,Bangalore,T30,26-35,Male,12,552311,46025.916666666664,2024-01-12,2025-05-28,UPI,Verified,17.3
INV000176,Rajasthan,Jaipur,T30,26-35,Male,5,213899,42779.8,2024-02-08,2025-05-30,Mandate,Verified,13.4
INV000177,Rajasthan,Jaipur,T30,26-35,Male,11,1297837,117985.18181818182,2024-01-16,2025-04-18,UPI,Verified,17.6
INV000178,West Bengal,Kolkata,T30,56+,Female,2,8750,4375.0,2024-06-08,2025-01-24,Cheque,Verified,43.0
INV000179,Rajasthan,Udaipur,B30,26-35,Male,6,264872,44145.333333333336,2024-05-25,2024-11-20,UPI,Verified,10.0
INV000180,Tamil Nadu,Coimbatore,B30,46-55,Female,8,518114,64764.25,2024-04-11,2025-03-12,Cheque,Verified,24.7
INV000181,Uttar Pradesh,Lucknow,T30,36-45,Male,10,1237265,123726.5,2024-01-05,2025-04-20,Cheque,Verified,36.2
INV000182,Tamil Nadu,Chennai,T30,36-45,Male,10,686041,68604.1,2024-01-06,2025-05-17,Net Banking,Verified,38.1
INV000183,Tamil Nadu,Coimbatore,B30,26-35,Male,12,779515,64959.583333333336,2024-02-20,2025-05-22,Cheque,Verified,9.8
INV000184,Gujarat,Ahmedabad,T30,36-45,Male,1,6111,6111.0,2024-02-10,2024-02-10,Mandate,Verified,53.1
INV000185,Telangana,Hyderabad,T30,46-55,Male,2,14773,7386.5,2024-05-04,2024-11-16,Cheque,Pending,50.3
INV000186,Maharashtra,Mumbai,T30,18-25,Male,2,717823,358911.5,2024-02-23,2024-06-23,Mandate,Verified,3.1
INV000187,Karnataka,Bangalore,T30,56+,Male,1,185221,185221.0,2024-06-23,2024-06-23,Net Banking,Verified,13.4
INV000188,Tamil Nadu,Coimbatore,B30,46-55,Male,2,511402,255701.0,2024-09-27,2025-05-04,Cheque,Verified,79.0
INV000189,Uttar Pradesh,Lucknow,T30,36-45,Male,6,430516,71752.66666666667,2024-01-14,2025-04-16,Net Banking,Verified,47.3
INV000190,Madhya Pradesh,Indore,T30,26-35,Female,8,919360,114920.0,2024-02-24,2025-05-29,Cheque,Verified,8.2
INV000191,Karnataka,Bangalore,T30,26-35,Male,11,873257,79387.0,2024-01-18,2025-03-17,Cheque,Verified,23.1
INV000192,Haryana,Faridabad,B30,26-35,Male,8,702787,87848.375,2024-02-11,2025-03-16,Net Banking,Verified,24.4
INV000193,Delhi,Gurugram,T30,26-35,Female,9,1152639,128071.0,2024-01-28,2025-05-08,Net Banking,Verified,11.6
INV000194,Maharashtra,Pune,T30,36-45,Male,12,1383163,115263.58333333333,2024-05-04,2025-05-10,Cheque,Verified,21.6
INV000195,Madhya Pradesh,Bhopal,B30,36-45,Female,10,651434,65143.4,2024-03-14,2025-04-30,Cheque,Verified,56.5
INV000196,Tamil Nadu,Chennai,T30,26-35,Male,9,450427,50047.444444444445,2024-02-06,2025-05-05,Cheque,Pending,17.9
INV000197,Maharashtra,Mumbai,T30,18-25,Male,4,673748,168437.0,2024-01-19,2025-02-26,Cheque,Verified,6.9
INV000198,Punjab,Chandigarh,T30,46-55,Male,1,462,462.0,2024-09-07,2024-09-07,Mandate,Verified,21.5
INV000199,Telangana,Hyderabad,T30,36-45,Female,7,737787,105398.14285714286,2024-02-04,2025-02-24,Cheque,Verified,15.7
INV000200,Rajasthan,Udaipur,B30,18-25,Male,7,1174752,167821.7142857143,2024-01-16,2025-03-10,UPI,Verified,4.0
INV000201,Madhya Pradesh,Indore,T30,46-55,Male,10,257189,25718.9,2024-01-17,2025-03-30,Mandate,Verified,87.0
INV000202,Haryana,Gurugram,T30,18-25,Male,3,423540,141180.0,2024-03-21,2025-03-04,UPI,Pending,4.1
INV000203,Maharashtra,Nashik,B30,26-35,Male,9,1119242,124360.22222222222,2024-03-19,2025-02-01,Mandate,Verified,16.0
INV000204,Punjab,Chandigarh,T30,36-45,Male,7,1192888,170412.57142857142,2024-02-16,2025-04-05,Cheque,Verified,17.7
INV000205,Haryana,Faridabad,B30,18-25,Male,10,763652,76365.2,2024-01-27,2025-04-09,Mandate,Verified,4.4
INV000206,Punjab,Amritsar,B30,26-35,Male,3,616094,205364.66666666666,2024-07-03,2025-03-20,Cheque,Verified,9.8
INV000207,Madhya Pradesh,Indore,T30,26-35,Female,5,66956,13391.2,2024-04-25,2025-05-10,Cheque,Verified,18.0
INV000208,Gujarat,Surat,T30,36-45,Male,1,2572,2572.0,2024-06-19,2024-06-19,Net Banking,Verified,28.3
INV000209,Haryana,Faridabad,B30,18-25,Female,2,58689,29344.5,2024-12-07,2025-01-05,Mandate,Verified,5.7
INV000210,Rajasthan,Jaipur,T30,26-35,Male,9,515430,57270.0,2024-01-14,2025-05-23,Cheque,Verified,9.1
